ICD9 Systems,DeVine200,ChoiClaims300,ChoiClinical300,BeamCui2Vec500,Examples in System
infectious and parasitic disease,22.46,35.03,39.52,31.14,334
neoplasms,8.62,11.21,8.62,6.03,116
endocrine  nutritional and metabolic diseases  and immunity disorders,9.84,6.74,2.59,11.92,193
diseases of the blood and blood-forming organs,14.81,16.05,7.41,19.75,81
mental disorders,0.00,14.55,5.45,2.42,165
diseases of the nervous system and sense organs,10.83,14.29,10.60,9.91,434
diseases of the circulatory system,6.84,13.68,11.73,28.99,307
diseases of the respiratory system,3.79,12.12,7.58,2.27,132
diseases of the digestive system,2.38,3.81,18.10,5.71,210
diseases of the genitourinary system,24.29,14.29,15.24,24.76,210
complications of pregnancy  childbirth  and the puerperium,0.00,0.00,0.00,0.00,10
diseases of the skin and subcutanous tissue,2.94,4.90,5.88,4.90,102
diseases of the musculoskeletal system and connective tissue,17.86,4.76,11.31,20.24,168
congenital anomalies,5.94,3.96,4.95,3.96,101
certain conditions originating in the perinatal period,0.00,0.00,0.00,0.00,11
symptoms  signs  and ill-defined conditions,22.32,5.80,12.05,14.29,224
injury and poisoning,11.63,4.65,6.98,11.63,86
