ICD9 System,DeVine200,ChoiClinical300,BeamCui2Vec500, UMNSRS Comparisons with cuis found, Total UMNSRS comparisons for this system, Diag comparisons, Drug comparisons
all,48.41,46.61,51.98, 330, 283, 200, 132
infectious and parasitic disease,77.42,48.02,64.69, 330, 41, 23, 18
neoplasms,58.53,20.88,45.29, 330, 16, 0, 16
endocrine  nutritional and metabolic diseases  and immunity disorders,43.25,50.29,46.84, 330, 43, 13, 31
diseases of the blood and blood-forming organs,47.19,37.73,47.31, 330, 27, 12, 16
mental disorders,66.48,-8.24,51.65, 330, 13, 2, 11
diseases of the nervous system and sense organs,53.25,49.63,58.44, 330, 90, 42, 49
diseases of the circulatory system,54.27,51.3,59.11, 330, 60, 20, 42
diseases of the respiratory system,57.22,53.66,50.95, 330, 22, 4, 18
diseases of the digestive system,26.04,22.18,45.87, 330, 40, 16, 24
diseases of the genitourinary system,53.86,52.15,53.15, 330, 26, 7, 19
complications of pregnancy  childbirth  and the puerperium,45.0,58.33,30.0, 330, 9, 0, 9
diseases of the skin and subcutanous tissue,88.1,23.81,78.57, 330, 8, 2, 6
diseases of the musculoskeletal system and connective tissue,71.92,67.46,75.38, 330, 25, 14, 12
congenital anomalies,nan,nan,nan, 330, 0, 0, 0
certain conditions originating in the perinatal period,-100.0,-100.0,-100.0, 330, 2, 0, 2
symptoms  signs  and ill-defined conditions,38.81,42.81,37.41, 330, 129, 82, 54
injury and poisoning,17.86,82.14,28.57, 330, 7, 0, 7
